Source	Target
Collobert2008AUnifiedArchitecture	He2015MultiperspectiveSentenceSimilarity
Das2009ParaphraseIdentificationAs	He2015MultiperspectiveSentenceSimilarity
Dolan2004UnsupervisedConstructionOf	He2015MultiperspectiveSentenceSimilarity
Fellbaum1998NoTitleAvailable	He2015MultiperspectiveSentenceSimilarity
Fern2008SemanticSimilarityApproach	He2015MultiperspectiveSentenceSimilarity
Finch2005UsingMachineTranslation	He2015MultiperspectiveSentenceSimilarity
Ganitkevitch2013PpdbTheParaphrase	He2015MultiperspectiveSentenceSimilarity
Goller1996LearningTaskdependentDistributed	He2015MultiperspectiveSentenceSimilarity
Guo2012ModelingSentencesIn	He2015MultiperspectiveSentenceSimilarity
Hassan2011NoTitleAvailable	He2015MultiperspectiveSentenceSimilarity
Hu2014ConvolutionalNeuralNetwork	He2015MultiperspectiveSentenceSimilarity
Huang2013LearningDeepStructured	He2015MultiperspectiveSentenceSimilarity
Ji2013DiscriminativeImprovementsTo	He2015MultiperspectiveSentenceSimilarity
Jimenez2014UnalnlpCombiningSoft	He2015MultiperspectiveSentenceSimilarity
Kalchbrenner2014AConvolutionalNeural	He2015MultiperspectiveSentenceSimilarity
Kim2014ConvolutionalNeuralNetworks	He2015MultiperspectiveSentenceSimilarity
Lai2014IllinoislhADenotational	He2015MultiperspectiveSentenceSimilarity
Madnani2012ReexaminingMachineTranslation	He2015MultiperspectiveSentenceSimilarity
Manning2014TheStanfordCorenlp	He2015MultiperspectiveSentenceSimilarity
Marelli2014Semeval2014Task1	He2015MultiperspectiveSentenceSimilarity
Mikolov2013EfficientEstimationOf	He2015MultiperspectiveSentenceSimilarity
Pennington2014GloveGlobalVectors	He2015MultiperspectiveSentenceSimilarity
Rennie2014DeepOrderStatistic	He2015MultiperspectiveSentenceSimilarity
Rios2012UowSemanticallyInformed	He2015MultiperspectiveSentenceSimilarity
Saric2012TakelabSystemsFor	He2015MultiperspectiveSentenceSimilarity
Socher2011DynamicPoolingAnd	He2015MultiperspectiveSentenceSimilarity
Socher2014GroundedCompositionalSemantics	He2015MultiperspectiveSentenceSimilarity
Tai2015ImprovedSemanticRepresentations	He2015MultiperspectiveSentenceSimilarity
Wan2006UsingDependencybasedFeatures	He2015MultiperspectiveSentenceSimilarity
Wang2012ProbabilisticEditDistance	He2015MultiperspectiveSentenceSimilarity
Weston2011WsabieScalingUp	He2015MultiperspectiveSentenceSimilarity
Wieting2015FromParaphraseDatabase	He2015MultiperspectiveSentenceSimilarity
Xu2014ExtractingLexicallyDivergent	He2015MultiperspectiveSentenceSimilarity
Yin2015ConvolutionalNeuralNetwork	He2015MultiperspectiveSentenceSimilarity
Zhao2014EcnuOneStone	He2015MultiperspectiveSentenceSimilarity
Zhu2015LongShorttermMemory	He2015MultiperspectiveSentenceSimilarity
He2015MultiperspectiveSentenceSimilarity	Mahajan2017MachineLearningBased
He2015MultiperspectiveSentenceSimilarity	Zhao2017HdskgHarvestingDomain
He2015MultiperspectiveSentenceSimilarity	An2017QuestionSimilarityModeling
He2015MultiperspectiveSentenceSimilarity	Shen2016BidirectionalLongShortterm
He2015MultiperspectiveSentenceSimilarity	Rao2016NoisecontrastiveEstimationFor
He2015MultiperspectiveSentenceSimilarity	Yan2016LearningToRespond
He2015MultiperspectiveSentenceSimilarity	Meng2016ContextawareTreebasedConvolutional
He2015MultiperspectiveSentenceSimilarity	Huang2016CharacterawareConvolutionalNeural
He2015MultiperspectiveSentenceSimilarity	Ma2016StructuralSentenceSimilarity
He2015MultiperspectiveSentenceSimilarity	Duong2016MeasuringSimilarityFor
He2015MultiperspectiveSentenceSimilarity	Liu2016DeepFusionLstms
He2015MultiperspectiveSentenceSimilarity	Mou2016NaturalLanguageInference
He2015MultiperspectiveSentenceSimilarity	Mueller2016SiameseRecurrentArchitectures
He2015MultiperspectiveSentenceSimilarity	Chen2016LearningParaphraseIdentification
He2015MultiperspectiveSentenceSimilarity	FineganDollak2016EffectsOfCreativity
He2015MultiperspectiveSentenceSimilarity	Peng2016NewsCitationRecommendation
He2015MultiperspectiveSentenceSimilarity	He2016PairwiseWordInteraction
Agirre2014Semeval2014Task10	Hill2016LearningDistributedRepresentations
Almahairi2015LearningDistributedRepresentations	Hill2016LearningDistributedRepresentations
Baroni2014FregeInSpace	Hill2016LearningDistributedRepresentations
Baroni2014DontCountPredict	Hill2016LearningDistributedRepresentations
Bruni2014MultimodalDistributionalSemantics	Hill2016LearningDistributedRepresentations
Chen2015NoTitleAvailable	Hill2016LearningDistributedRepresentations
Cho2014LearningPhraseRepresentations	Hill2016LearningDistributedRepresentations
Clark2007CombiningSymbolicAnd	Hill2016LearningDistributedRepresentations
Collobert2011NaturalLanguageProcessing	Hill2016LearningDistributedRepresentations
Dai2015SemisupervisedSequenceLearning	Hill2016LearningDistributedRepresentations
Dolan2004UnsupervisedConstructionOf	Hill2016LearningDistributedRepresentations
Harris1954DistributionalStructure	Hill2016LearningDistributedRepresentations
Hill2015LearningToUnderstand	Hill2016LearningDistributedRepresentations
Hill2015Simlex999EvaluatingSemantic	Hill2016LearningDistributedRepresentations
Hu2004MiningAndSummarizing	Hill2016LearningDistributedRepresentations
Iyyer2015DeepUnorderedComposition	Hill2016LearningDistributedRepresentations
Ji2013DiscriminativeImprovementsTo	Hill2016LearningDistributedRepresentations
Kalchbrenner2014AConvolutionalNeural	Hill2016LearningDistributedRepresentations
Kiros2015SkipthoughtVectors	Hill2016LearningDistributedRepresentations
Le2014DistributedRepresentationsOf	Hill2016LearningDistributedRepresentations
Levy2014NeuralWordEmbedding	Hill2016LearningDistributedRepresentations
Levy2015ImprovingDistributionalSimilarity	Hill2016LearningDistributedRepresentations
Mao2015DeepCaptioningWith	Hill2016LearningDistributedRepresentations
Marelli2014ASickCure	Hill2016LearningDistributedRepresentations
Mikolov2013NoTitleAvailable	Hill2016LearningDistributedRepresentations
Mikolov2013DistributedRepresentationsOfwords	Hill2016LearningDistributedRepresentations
Milajevs2014EvaluatingNeuralwordRepresentations	Hill2016LearningDistributedRepresentations
Mitchell2008VectorbasedModelsOf	Hill2016LearningDistributedRepresentations
Mitchell2010CompositionInDistributional	Hill2016LearningDistributedRepresentations
Norman1972MemoryKnowledgeAnd	Hill2016LearningDistributedRepresentations
Pang2004ASentimentalEducation	Hill2016LearningDistributedRepresentations
Pang2005SeeingStarsExploiting	Hill2016LearningDistributedRepresentations
Pham2015JointlyOptimizingWord	Hill2016LearningDistributedRepresentations
Polajnar2015AnExplorationOf	Hill2016LearningDistributedRepresentations
Russakovsky2015ImagenetLargeScale	Hill2016LearningDistributedRepresentations
Serban2015NoTitleAvailable	Hill2016LearningDistributedRepresentations
Socher2011SemisupervisedRecursiveAutoencoders	Hill2016LearningDistributedRepresentations
Sutskever2011GeneratingTextWith	Hill2016LearningDistributedRepresentations
Sutskever2014SequenceToSequence	Hill2016LearningDistributedRepresentations
Szegedy2014NoTitleAvailable	Hill2016LearningDistributedRepresentations
Vincent2008ExtractingAndComposing	Hill2016LearningDistributedRepresentations
Vincent2010StackedDenoisingAutoencoders	Hill2016LearningDistributedRepresentations
Voorhees1999TheTrec8Question	Hill2016LearningDistributedRepresentations
Wiebe2005AnnotatingExpressionsOf	Hill2016LearningDistributedRepresentations
Hill2016LearningDistributedRepresentations	Wang2017ComparisonStudyOn
AbdelHamid2012ApplyingConvolutionalNeural	Hu2015ConvolutionalNeuralNetwork
Bordes2014ASemanticMatching	Hu2015ConvolutionalNeuralNetwork
Bengio2009LearningDeepArchitectures	Hu2015ConvolutionalNeuralNetwork
Bengio2009CurriculumLearning	Hu2015ConvolutionalNeuralNetwork
Collobert2011NaturalLanguageProcessing	Hu2015ConvolutionalNeuralNetwork
Dahl2013ImprovingDeepNeural	Hu2015ConvolutionalNeuralNetwork
Hinton2012ImprovingNeuralNetworks	Hu2015ConvolutionalNeuralNetwork
Kalchbrenner2014AConvolutionalNeural	Hu2015ConvolutionalNeuralNetwork
Kim2014ConvolutionalNeuralNetworks	Hu2015ConvolutionalNeuralNetwork
LeCun1995ConvolutionalNetworksFor	Hu2015ConvolutionalNeuralNetwork
Lewis2004Rcv1ANew	Hu2015ConvolutionalNeuralNetwork
